feature,importance
carat,0.3468189691053335
volume,0.19779863463021236
log_carat,0.17449667843769834
z,0.08299367710655556
carat_squared,0.05074524274173201
carat_color,0.03726252525003281
y,0.03540035179835336
clarity_color,0.020729044928562278
x,0.0117354388213576
color,0.011332229885915961
carat_clarity,0.009900840846778159
clarity,0.004424487114117777
volume_to_carat,0.002727540571901982
shape_round,0.0024499184129608185
depth,0.002187138462863988
fluorescence,0.0021239790477559878
depth_to_table,0.0017919587555322173
table,0.0016553381479539047
cut,0.0011305488678853225
shape_cushion_modified,0.0005984918263294038
shape_heart,0.000294145917879692
shape_princess,0.00025957807997878445
shape_pear,0.0002506250443776591
shape_oval,0.00022615489003248733
shape_emerald,0.00019020369843408277
shape_radiant,0.0001475831921382901
shape_asscher,0.00012574767099230341
shape_marquise,0.00011093573156169772
shape_cushion,6.577149104873307e-05
shape_square_radiant,2.6219523723067986e-05
